0 319.27 382.44 3042.7
1 317.48 378.44 2758.1
2 316.1 379.06 2729.4
3 317.08 384.08 3729.8
4 318.44 379.51 3028.4
5 314.53 386.7 2661.8
6 313.35 385.22 2885.1
7 316.45 388 3610.1
8 322.34 383.34 3815.7
9 322.56 387.53 3969.4
10 323 386.06 3848
11 325.49 390.94 2942.4
12 321.72 390.6 3245.5
13 315.38 389.69 3401.5
14 315.93 387.66 2267.7
15 314.79 386.17 2313.8
16 317.2 380.24 2822.1
17 316.81 384.51 3055.7
18 317.97 387.16 3140.6
19 319.33 390.95 3397
20 317.68 390.35 3621.3
21 318.29 387.52 2365.9
22 322.89 385.45 2630.5
23 326.19 386.58 4243
24 319.55 381.75 3075.5
25 316.9 383.65 3432.8
26 317.39 382.67 3133.3
27 323.17 381.63 2411.1
28 327.52 384.51 3060
29 327.89 383.4 3224.9
30 331.81 383.63 2648.5
31 330.51 383.8 2781.7
32 336.56 385.53 3413.4
33 337.81 387.41 2497.7
34 337.8 390.44 3653.5
35 342.41 391.66 2484.4
36 348.45 390.76 3202.4
37 354.75 396.2 2501.6
38 356.92 399.29 2925.1
39 354.26 399.24 3824.3
40 356.91 401.44 2380.4
41 356.05 403.56 2944.4
42 356.02 402.1 2405.5
43 360.19 406.37 3519
44 357.29 402.59 3379.3
45 351.97 408.06 2461.9
46 354.74 413.08 3565
47 357.42 412.08 2975
48 359.35 413.73 3090.2
49 361.79 413.75 4417.1
50 359.58 413.57 2923.2
51 354.94 421.14 1935.7
52 349.58 422.61 2809.5
53 353.04 420.81 3765.5
54 358.47 423.02 2585
55 357.19 428.07 3333.8
56 355.37 433.33 2844.3
57 353.98 432.09 2949.4
58 359.59 433.34 2896.6
59 358.74 440.09 2520.4
60 357.24 439.86 3113.9
61 357.28 442.03 3227.5
62 357.41 439.41 1791.1
63 364.13 443.35 2611.9
64 366.44 440.93 2878.9
65 368.12 436.28 2979.4
66 363.74 436.38 2680
67 363.84 430.24 3333.7
68 363.27 427.8 3941.8
69 363.69 422.71 3141.2
70 371.92 418.15 2631.1
71 371.96 419.1 4074.8
72 373.25 417.81 3417.9
73 369.04 416.93 2715.8
74 368.22 416.52 2396.3
75 370.75 410.81 2529.5
76 372.52 410.04 3721.2
77 369.59 413.83 3022.1
78 367.04 417.83 2723.3
79 364.79 414.48 2217.6
80 365.44 415.16 2866.9
81 366.47 412.04 3544.5
82 369.08 409.65 2450.9
83 369.07 407.27 2971.5
84 367.72 407.55 2738.2
85 369.9 412.41 2530.5
86 371.86 408.76 2194.1
87 372.23 403.51 3387.3
88 375.3 407.9 2892.2
89 372.19 409.79 2893.6
90 370.02 409.48 2768.6
91 367.84 414.12 3240.7
92 364.54 416.38 3604.2
93 356.04 413.48 3266
94 352.97 410.54 1985.2
95 352.1 404.7 3051.3
96 358.6 403.71 3037.2
97 357.7 408.91 3285.6
98 357.62 405.06 2928.6
99 357.46 403 2960.5
